Corretora,Data,Ativo,Ativo Codigo,Quantidade
"C6 Invest",08/01/2024,Fundo Imobiliário,BCFF11,5;
"C6 Invest",04/01/2024,Ação,KLBN4,1;	 
"C6 Invest",09/01/2024,Ação,SAPR4,1;
"C6 Invest",09/01/2024,Ação,CMIG4,1;
"C6 Invest",02/02/2024,Ação,BBAS3,1;
"C6 Invest",02/02/2024,Ação,CXSE3,2;
"C6 Invest",02/02/2024,Ação,AURE3,1;
"C6 Invest",02/02/2024,Ação,CPLE6,1;
"C6 Invest",02/02/2024,Ação,KLBN4,1;
"C6 Invest",02/02/2024,Ação,TASA4,1;
"C6 Invest",05/02/2024,Ação,TASA4,1;
"C6 Invest",10/02/2024,Ação,KLBN4,1;
"C6 Invest",20/03/2024,Ação,VALE3,1;
"C6 Invest",20/03/2024,Ação,TAEE4,1; 
"C6 Invest",20/03/2024,Ação,PETR4,1;
"C6 Invest",20/03/2024,Ação,GGBR4,1;
"C6 Invest",20/03/2024,Fundo Imobiliário,CPTS11,4; 
